"","Link","Barrio","Comuna","E014","E1564","E65","TotPob","Percentil","GE65","VacNombre","VacBarrio","VacComuna","VacTipo"
"1","20010101","RETIRO","1",48,277,11,336,0.0609613327961423,"Bajo","CeSAC N° 21","RETIRO","1","CESAC"
"2","20010201","RETIRO","1",149,316,13,478,0.09070371315689,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"3","20010202","RETIRO","1",136,260,5,401,0.00928131018349572,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"4","20010203","RETIRO","1",104,227,6,337,0.0170860482923444,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"5","20010204","RETIRO","1",202,391,9,602,0.0423987124291509,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"6","20010205","RETIRO","1",106,196,5,307,0.0103360045225293,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"7","20010206","RETIRO","1",261,460,11,732,0.0656019878878902,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"8","20010207","RETIRO","1",140,288,10,438,0.0565316165722012,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"9","20010208","RETIRO","1",161,324,1,486,0.000210938867806721,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"10","20010209","RETIRO","1",158,348,5,511,0.0113906988615629,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"11","20010210","RETIRO","1",100,220,7,327,0.0253126641368065,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"12","20010211","RETIRO","1",165,438,8,611,0.0314298913032014,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"13","20010212","RETIRO","1",370,844,11,1225,0.0679223154337641,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"14","20010213","RETIRO","1",136,334,6,476,0.0183516814991847,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"15","20010214","RETIRO","1",174,498,16,688,0.119391399178604,"Bajo","CeSAC N° 21","RETIRO","1","CESAC"
"16","20010215","RETIRO","1",204,532,21,757,0.171915177262478,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"17","20010216","RETIRO","1",285,828,15,1128,0.109477272391688,"Bajo","CeSAC N° 21","RETIRO","1","CESAC"
"18","20010217","RETIRO","1",229,471,12,712,0.0828989750480413,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"19","20010218","RETIRO","1",146,327,7,480,0.0238360920621595,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"20","20010219","RETIRO","1",129,412,6,547,0.019617314706025,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"21","20010302","RETIRO","1",160,392,12,564,0.085430241461722,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"22","20010303","RETIRO","1",244,411,4,659,0.00738286037323523,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"23","20010304","RETIRO","1",161,261,6,428,0.0208829479128654,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"24","20010305","RETIRO","1",469,807,7,1283,0.0282658082861006,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"25","20010306","RETIRO","1",327,690,10,1027,0.0586410052502684,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"26","20010307","RETIRO","1",108,286,9,403,0.0461956120496719,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"27","20010308","RETIRO","1",258,534,5,797,0.0135000875396301,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"28","20010309","RETIRO","1",323,761,8,1092,0.034804913188109,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"29","20010310","RETIRO","1",229,511,5,745,0.0145547818786637,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"30","20010311","RETIRO","1",218,512,15,745,0.112641355408789,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"31","20010312","RETIRO","1",179,373,9,561,0.0480940618599324,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"32","20010313","RETIRO","1",117,261,3,381,0.00337502188490754,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"33","20010314","RETIRO","1",176,294,1,471,0.000843755471226884,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"34","20010315","RETIRO","1",226,609,8,843,0.0331174022456552,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"35","20010316","RETIRO","1",194,531,1,726,0.000632816603420163,"Bajo","CeSAC N° 47","RETIRO","1","CESAC"
"36","20010317","RETIRO","1",167,402,2,571,0.00168751094245377,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"37","20010318","RETIRO","1",271,507,5,783,0.0124453932005965,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
"38","20010319","RETIRO","1",337,673,7,1017,0.0267892362114536,"Bajo","CeSAC N° 25","RETIRO","1","CESAC"
