barrio,Total
CONSTITUCION,44107
MONSERRAT,39914
PUERTO MADERO,6726
RETIRO,65413
SAN NICOLAS,29273
SAN TELMO,20453
RECOLETA,157932
BALVANERA,138926
SAN CRISTOBAL,48611
BARRACAS,89452
BOCA,45113
NUEVA POMPEYA,42695
PARQUE PATRICIOS,40985
ALMAGRO,131699
BOEDO,47306
CABALLITO,176076
FLORES,164310
PARQUE CHACABUCO,56281
VILLA LUGANO,126374
VILLA RIACHUELO,14084
VILLA SOLDATI,46779
LINIERS,44132
MATADEROS,64436
PARQUE AVELLANEDA,53229
FLORESTA,37575
MONTE CASTRO,33623
VELEZ SARSFIELD,35081
VERSALLES,13822
VILLA LURO,32502
VILLA REAL,13419
VILLA SANTA RITA,33325
VILLA DEL PARQUE,55273
VILLA DEVOTO,66521
VILLA GRAL. MITRE,34713
COGHLAN,18604
SAAVEDRA,50295
VILLA PUEYRREDON,39654
VILLA URQUIZA,91563
BELGRANO,126831
COLEGIALES,52551
NUÑEZ,51949
PALERMO,225970
AGRONOMIA,13912
CHACARITA,27761
PARQUE CHAS,17489
PATERNAL,19717
VILLA CRESPO,81959
VILLA ORTUZAR,21736
