"","X","AGLOMERADO","nombre_aglomerado","lon","lat","REGION","NOMBRE","GRADO_HACINAMIENTO","cantidad_hogares","per_hog_hac"
"1",1,2,"Gran La Plata",-57.9730156117952,-34.9498315772711,"Pampeana","Gran La Plata","-2.9 personas por dormitorio",319953,97.1665710042729
"2",1,2,"Gran La Plata",-57.9730156117952,-34.9498315772711,"Pampeana","Gran La Plata","+3 personas por dormitorio",9330,2.83342899572708
"3",2,3,"Bahia Blanca - Cerri",-62.2656912517195,-38.7047563070234,"Pampeana","Bahia Blanca - Cerri","-2.9 personas por dormitorio",118576,96.9399684431691
"4",2,3,"Bahia Blanca - Cerri",-62.2656912517195,-38.7047563070234,"Pampeana","Bahia Blanca - Cerri","+3 personas por dormitorio",3743,3.06003155683091
"5",3,4,"Gran Rosario",-60.7709446925499,-32.9162972386463,"Pampeana","Gran Rosario","-2.9 personas por dormitorio",432589,95.7729110303266
"6",3,4,"Gran Rosario",-60.7709446925499,-32.9162972386463,"Pampeana","Gran Rosario","+3 personas por dormitorio",19093,4.22708896967335
"7",4,5,"Gran Santa Fe",-60.6388679106905,-31.6382380773414,"Pampeana","Gran Santa Fe","-2.9 personas por dormitorio",189498,97.3707062662179
"8",4,5,"Gran Santa Fe",-60.6388679106905,-31.6382380773414,"Pampeana","Gran Santa Fe","+3 personas por dormitorio",5117,2.62929373378208
"9",5,6,"Gran Paraná",-60.4810133512958,-31.7629482283113,"Pampeana","Gran Parana","-2.9 personas por dormitorio",101822,95.8252555101734
"10",5,6,"Gran Paraná",-60.4810133512958,-31.7629482283113,"Pampeana","Gran Parana","+3 personas por dormitorio",4436,4.17474448982665
"11",6,7,"Posadas",-55.9049629711849,-27.4637324487388,"Nordeste","Posadas","-2.9 personas por dormitorio",118940,98.9970452370053
"12",6,7,"Posadas",-55.9049629711849,-27.4637324487388,"Nordeste","Posadas","+3 personas por dormitorio",1205,1.00295476299471
"13",7,8,"Gran Resistencia",-58.9866935208069,-27.4563408353005,"Nordeste","Gran Resistencia","-2.9 personas por dormitorio",110457,94.1301291064809
"14",7,8,"Gran Resistencia",-58.9866935208069,-27.4563408353005,"Nordeste","Gran Resistencia","+3 personas por dormitorio",6888,5.86987089351911
"15",8,9,"Comodoro Rivadavia - Rada Tilly",-67.5152108349754,-45.8450360851633,"Patagonica.","Cdro. Rivadavia - R.Tilly","-2.9 personas por dormitorio",73809,93.2143669015685
"16",8,9,"Comodoro Rivadavia - Rada Tilly",-67.5152108349754,-45.8450360851633,"Patagonica.","Cdro. Rivadavia - R.Tilly","+3 personas por dormitorio",5373,6.78563309843146
"17",9,10,"Gran Mendoza",-68.8639063929406,-32.8624706771546,"Cuyo","Gran Mendoza","-2.9 personas por dormitorio",307125,95.7823040146702
"18",9,10,"Gran Mendoza",-68.8639063929406,-32.8624706771546,"Cuyo","Gran Mendoza","+3 personas por dormitorio",13524,4.21769598532975
"19",10,12,"Corrientes",-58.7685551813111,-27.4691800479946,"Nordeste","Corrientes","-2.9 personas por dormitorio",104705,91.7667990078791
